Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
0,1/2/2016,0,Guyana,0,6,0,0,1/2/2016,6,0,2015,808
0,1/2/2016,0,Jamaica,0,6,0,0,1/2/2016,6,0,2015,2813
0,1/2/2016,0,Mexico,0,6,0,0,1/2/2016,6,0,2015,125236
0,1/2/2016,0,Martinique,0,6,0,0,1/2/2016,6,0,2015,406
0,1/2/2016,0,Haiti,0,6,0,0,1/2/2016,6,0,2015,10604
0,1/2/2016,0,Honduras,0,6,0,0,1/2/2016,6,0,2015,8424
0,1/2/2016,0,French Guiana,0,6,0,0,1/2/2016,6,0,2015,262
0,1/2/2016,0,Guadeloupe,0,6,0,0,1/2/2016,6,0,2015,470
0,1/2/2016,0,Dominica,0,6,0,0,1/2/2016,6,0,2015,74
0,1/2/2016,0,Dominican Republic,0,6,0,0,1/2/2016,6,0,2015,10652
0,1/2/2016,0,Ecuador,0,6,0,0,1/2/2016,6,0,2015,16226
2158,1/2/2016,4.36,Colombia,0,6,0,183,1/2/2016,6,"2,158",2015,49529
104,1/2/2016,0.05,Brazil,0,6,0,51,1/2/2016,6,104,2015,203657
976,1/2/2016,15.19,El Salvador,0,6,0,0,1/2/2016,6,976,2015,6426
0,1/2/2016,0,Belize,0,6,0,0,1/2/2016,6,0,2015,348
0,1/2/2016,0,Bolivia,0,6,0,0,1/2/2016,6,0,2015,11025
0,1/2/2016,0,Curaçao,0,6,0,0,1/2/2016,6,0,2015,150
0,1/2/2016,0,Aruba,0,6,0,0,1/2/2016,6,0,2015,112
0,1/2/2016,,"Bonaire, Saint Eustatius and Saba",0,6,0,0,1/2/2016,6,0,2015,
0,1/2/2016,0,Nicaragua,0,6,0,0,1/2/2016,6,0,2015,6257
21,1/2/2016,0.53,Panama,0,6,0,21,1/2/2016,6,21,2015,3988
0,1/2/2016,0,Paraguay,0,6,0,0,1/2/2016,6,0,2015,7033
0,1/2/2016,0,Peru,0,6,0,0,1/2/2016,6,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,6,0,0,1/2/2016,6,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,6,0,0,1/2/2016,6,0,2015,9
0,1/2/2016,0,Saint Kitts and Nevis,,6,,0,1/2/2016,6,0,2015,52
0,1/2/2016,0,Anguilla,0,6,0,0,1/2/2016,6,0,2015,16
0,1/2/2016,0,Saint Lucia,0,6,0,0,1/2/2016,6,0,2015,164
0,1/2/2016,0,Saint Martin,0,6,0,0,1/2/2016,6,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,6,0,0,1/2/2016,6,0,2015,103
71,1/2/2016,12.96,Suriname,0,6,0,11,1/2/2016,6,71,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,6,0,0,1/2/2016,6,0,2015,1347
0,1/2/2016,0,Turks and Caicos Islands,,6,,0,1/2/2016,6,0,2015,50
0,1/2/2016,0,United States of America,0,6,,0,1/2/2016,6,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,6,0,0,1/2/2016,6,0,2015,104
0,1/2/2016,0,Venezuela,0,6,0,0,1/2/2016,6,0,2015,31293
,12/29/2018,,Barbados,,6,,,12/29/2018,-,,2015,291
,1/2/2016,,Guatemala,,6,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,7,0,0,1/2/2016,7,0,2015,42155
2158,1/2/2016,4.36,Colombia,0,7,0,183,1/2/2016,7,"2,158",2015,49529
0,1/2/2016,0,Virgin Islands (UK),,7,,0,1/2/2016,7,0,2015,33
0,1/2/2016,0,Virgin Islands (UK),,7,,0,1/2/2016,7,0,2015,33
0,1/2/2016,0,Canada,0,7,0,,1/2/2016,7,0,2015,0
0,1/2/2016,0,Costa Rica,0,7,0,0,1/2/2016,7,0,2015,5002
0,1/2/2016,0,Cuba,0,7,0,0,1/2/2016,7,0,2015,11249
0,1/2/2016,0,Grenada,0,7,0,0,1/2/2016,7,0,2015,111
0,1/2/2016,0,Guyana,0,7,0,0,1/2/2016,7,0,2015,808
0,1/2/2016,0,Jamaica,0,7,0,0,1/2/2016,7,0,2015,2813
0,1/2/2016,0,Mexico,0,7,0,0,1/2/2016,7,0,2015,125236
0,1/2/2016,0,Martinique,0,7,0,0,1/2/2016,7,0,2015,406
0,1/2/2016,0,Haiti,0,7,0,0,1/2/2016,7,0,2015,10604
0,1/2/2016,0,Honduras,0,7,0,0,1/2/2016,7,0,2015,8424
0,1/2/2016,0,French Guiana,0,7,0,0,1/2/2016,7,0,2015,262
0,1/2/2016,0,Guadeloupe,0,7,0,0,1/2/2016,7,0,2015,470
0,1/2/2016,0,Dominica,0,7,0,0,1/2/2016,7,0,2015,74
0,1/2/2016,0,Dominican Republic,0,7,0,0,1/2/2016,7,0,2015,10652
0,1/2/2016,0,Ecuador,0,7,0,0,1/2/2016,7,0,2015,16226
124,1/2/2016,0.06,Brazil,0,7,0,57,1/2/2016,7,124,2015,203657
976,1/2/2016,15.19,El Salvador,0,7,0,0,1/2/2016,7,976,2015,6426
0,1/2/2016,0,Belize,0,7,0,0,1/2/2016,7,0,2015,348
0,1/2/2016,0,Bolivia,0,7,0,0,1/2/2016,7,0,2015,11025
0,1/2/2016,0,Curaçao,0,7,0,0,1/2/2016,7,0,2015,150
0,1/2/2016,0,Aruba,0,7,0,0,1/2/2016,7,0,2015,112
0,1/2/2016,,"Bonaire, Saint Eustatius and Saba",0,7,0,0,1/2/2016,7,0,2015,
0,1/2/2016,0,Nicaragua,0,7,0,0,1/2/2016,7,0,2015,6257
21,1/2/2016,0.53,Panama,0,7,0,21,1/2/2016,7,21,2015,3988
0,1/2/2016,0,Paraguay,0,7,0,0,1/2/2016,7,0,2015,7033
0,1/2/2016,0,Peru,0,7,0,0,1/2/2016,7,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,7,0,0,1/2/2016,7,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,7,0,0,1/2/2016,7,0,2015,9
0,1/2/2016,0,Saint Kitts and Nevis,,7,,0,1/2/2016,7,0,2015,52
0,1/2/2016,0,Anguilla,0,7,0,0,1/2/2016,7,0,2015,16
0,1/2/2016,0,Saint Lucia,0,7,0,0,1/2/2016,7,0,2015,164
0,1/2/2016,0,Saint Martin,0,7,0,0,1/2/2016,7,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,7,0,0,1/2/2016,7,0,2015,103
71,1/2/2016,12.96,Suriname,0,7,0,11,1/2/2016,7,71,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,7,0,0,1/2/2016,7,0,2015,1347
0,1/2/2016,0,Turks and Caicos Islands,,7,,0,1/2/2016,7,0,2015,50
0,1/2/2016,0,United States of America,0,7,,0,1/2/2016,7,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,7,0,0,1/2/2016,7,0,2015,104
0,1/2/2016,0,Venezuela,0,7,0,0,1/2/2016,7,0,2015,31293
,12/29/2018,,Barbados,,7,,,12/29/2018,-,,2015,291
,1/2/2016,,Guatemala,,7,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,8,0,0,1/2/2016,8,0,2015,42155
2158,1/2/2016,4.36,Colombia,0,8,0,183,1/2/2016,8,"2,158",2015,49529
0,1/2/2016,0,Canada,0,8,0,,1/2/2016,8,0,2015,0
0,1/2/2016,0,Costa Rica,0,8,0,0,1/2/2016,8,0,2015,5002
0,1/2/2016,0,Cuba,0,8,0,0,1/2/2016,8,0,2015,11249
0,1/2/2016,0,Guyana,0,8,0,0,1/2/2016,8,0,2015,808
0,1/2/2016,0,Jamaica,0,8,0,0,1/2/2016,8,0,2015,2813
